[1;34m[src/utils/log.c:13 init_log] Log is written to /home/ziqiang/ics2021/am-kernels/kernels/typing-game/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:60 init_mem] physical memory area [0x80000000, 0x88000000][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:46 load_img] The image is /home/ziqiang/ics2021/am-kernels/kernels/typing-game/build/typing-game-riscv32-nemu.bin, size = 50872[0m
[1;34m[src/monitor/monitor.c:13 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:14 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:17 welcome] Build time: 20:05:56, Oct 31 2023[0m
dtrace: write vmem at0xa1003848, 4 with 0x002a0a29
dtrace: write vmem at0xa100384c, 4 with 0x002a0a29
dtrace: write vmem at0xa1003850, 4 with 0x002a0a29
dtrace: write vmem at0xa1003854, 4 with 0x002a0a29
dtrace: write vmem at0xa1003858, 4 with 0x002a0a29
dtrace: write vmem at0xa100385c, 4 with 0x002a0a29
dtrace: write vmem at0xa1003e80, 4 with 0x002a0a29
dtrace: write vmem at0xa1003e84, 4 with 0x002a0a29
dtrace: write vmem at0xa1003e88, 4 with 0x002a0a29
dtrace: write vmem at0xa1003e8c, 4 with 0x002a0a29
dtrace: write vmem at0xa1003e90, 4 with 0x002a0a29
dtrace: write vmem at0xa1003e94, 4 with 0x002a0a29
dtrace: write vmem at0xa1003e98, 4 with 0x002a0a29
dtrace: write vmem at0xa1003e9c, 4 with 0x002a0a29
dtrace: write vmem at0xa10044c0, 4 with 0x002a0a29
dtrace: write vmem at0xa10044c4, 4 with 0x002a0a29
dtrace: write vmem at0xa10044c8, 4 with 0x002a0a29
dtrace: write vmem at0xa10044cc, 4 with 0x002a0a29
dtrace: write vmem at0xa10044d0, 4 with 0x002a0a29
dtrace: write vmem at0xa10044d4, 4 with 0x002a0a29
dtrace: write vmem at0xa10044d8, 4 with 0x002a0a29
dtrace: write vmem at0xa10044dc, 4 with 0x002a0a29
dtrace: write vmem at0xa1004b00, 4 with 0x002a0a29
dtrace: write vmem at0xa1004b04, 4 with 0x002a0a29
dtrace: write vmem at0xa1004b08, 4 with 0x002a0a29
dtrace: write vmem at0xa1004b0c, 4 with 0x002a0a29
dtrace: write vmem at0xa1004b10, 4 with 0x002a0a29
dtrace: write vmem at0xa1004b14, 4 with 0x002a0a29
dtrace: write vmem at0xa1004b18, 4 with 0x002a0a29
dtrace: write vmem at0xa1004b1c, 4 with 0x002a0a29
dtrace: write vmem at0xa1005140, 4 with 0x002a0a29
dtrace: write vmem at0xa1005144, 4 with 0x002a0a29
dtrace: write vmem at0xa1005148, 4 with 0x002a0a29
dtrace: write vmem at0xa100514c, 4 with 0x002a0a29
dtrace: write vmem at0xa1005150, 4 with 0x002a0a29
dtrace: write vmem at0xa1005154, 4 with 0x002a0a29
dtrace: write vmem at0xa1005158, 4 with 0x002a0a29
dtrace: write vmem at0xa100515c, 4 with 0x002a0a29
dtrace: write vmem at0xa1005780, 4 with 0x002a0a29
dtrace: write vmem at0xa1005784, 4 with 0x002a0a29
dtrace: write vmem at0xa1005788, 4 with 0x002a0a29
dtrace: write vmem at0xa100578c, 4 with 0x002a0a29
dtrace: write vmem at0xa1005790, 4 with 0x002a0a29
dtrace: write vmem at0xa1005794, 4 with 0x002a0a29
dtrace: write vmem at0xa1005798, 4 with 0x002a0a29
dtrace: write vmem at0xa100579c, 4 with 0x002a0a29
dtrace: write vmem at0xa1005dc0, 4 with 0x002a0a29
dtrace: write vmem at0xa1005dc4, 4 with 0x002a0a29
dtrace: write vmem at0xa1005dc8, 4 with 0x002a0a29
dtrace: write vmem at0xa1005dcc, 4 with 0x002a0a29
dtrace: write vmem at0xa1005dd0, 4 with 0x002a0a29
dtrace: write vmem at0xa1005dd4, 4 with 0x002a0a29
dtrace: write vmem at0xa1005dd8, 4 with 0x002a0a29
dtrace: write vmem at0xa1005ddc, 4 with 0x002a0a29
dtrace: read vgactl at 0xa0000100, 4
dtrace: write vmem at0xa1006400, 4 with 0x002a0a29
dtrace: write vmem at0xa1006404, 4 with 0x002a0a29
dtrace: write vmem at0xa1006408, 4 with 0x002a0a29
dtrace: write vmem at0xa100640c, 4 with 0x002a0a29
dtrace: write vmem at0xa1006410, 4 with 0x002a0a29
dtrace: write vmem at0xa1006414, 4 with 0x002a0a29
dtrace: write vmem at0xa1006418, 4 with 0x002a0a29
dtrace: write vmem at0xa100641c, 4 with 0x002a0a29
dtrace: write vmem at0xa1006a40, 4 with 0x002a0a29
dtrace: write vmem at0xa1006a44, 4 with 0x002a0a29
dtrace: write vmem at0xa1006a48, 4 with 0x002a0a29
dtrace: write vmem at0xa1006a4c, 4 with 0x002a0a29
dtrace: write vmem at0xa1006a50, 4 with 0x002a0a29
dtrace: write vmem at0xa1006a54, 4 with 0x002a0a29
dtrace: write vmem at0xa1006a58, 4 with 0x002a0a29
dtrace: write vmem at0xa1006a5c, 4 with 0x002a0a29
dtrace: write vmem at0xa1007080, 4 with 0x002a0a29
dtrace: write vmem at0xa1007084, 4 with 0x002a0a29
dtrace: write vmem at0xa1007088, 4 with 0x002a0a29
dtrace: write vmem at0xa100708c, 4 with 0x002a0a29
dtrace: write vmem at0xa1007090, 4 with 0x002a0a29
dtrace: write vmem at0xa1007094, 4 with 0x002a0a29
dtrace: write vmem at0xa1007098, 4 with 0x002a0a29
dtrace: write vmem at0xa100709c, 4 with 0x002a0a29
dtrace: write vmem at0xa10076c0, 4 with 0x002a0a29
dtrace: write vmem at0xa10076c4, 4 with 0x002a0a29
dtrace: write vmem at0xa10076c8, 4 with 0x002a0a29
dtrace: write vmem at0xa10076cc, 4 with 0x002a0a29
dtrace: write vmem at0xa10076d0, 4 with 0x002a0a29
dtrace: write vmem at0xa10076d4, 4 with 0x002a0a29
dtrace: write vmem at0xa10076d8, 4 with 0x002a0a29
dtrace: write vmem at0xa10076dc, 4 with 0x002a0a29
dtrace: write vmem at0xa1007d00, 4 with 0x002a0a29
dtrace: write vmem at0xa1007d04, 4 with 0x002a0a29
dtrace: write vmem at0xa1007d08, 4 with 0x002a0a29
dtrace: write vmem at0xa1007d0c, 4 with 0x002a0a29
dtrace: write vmem at0xa1007d10, 4 with 0x002a0a29
dtrace: write vmem at0xa1007d14, 4 with 0x002a0a29
dtrace: write vmem at0xa1007d18, 4 with 0x002a0a29
dtrace: write vmem at0xa1007d1c, 4 with 0x002a0a29
dtrace: write vmem at0xa1008340, 4 with 0x002a0a29
dtrace: write vmem at0xa1008344, 4 with 0x002a0a29
dtrace: write vmem at0xa1008348, 4 with 0x002a0a29
dtrace: write vmem at0xa100834c, 4 with 0x002a0a29
dtrace: write vmem at0xa1008350, 4 with 0x002a0a29
dtrace: write vmem at0xa1008354, 4 with 0x002a0a29
dtrace: write vmem at0xa1008358, 4 with 0x002a0a29
dtrace: write vmem at0xa100835c, 4 with 0x002a0a29
dtrace: write vmem at0xa1008980, 4 with 0x002a0a29
dtrace: write vmem at0xa1008984, 4 with 0x002a0a29
dtrace: write vmem at0xa1008988, 4 with 0x002a0a29
dtrace: write vmem at0xa100898c, 4 with 0x002a0a29
dtrace: write vmem at0xa1008990, 4 with 0x002a0a29
dtrace: write vmem at0xa1008994, 4 with 0x002a0a29
dtrace: write vmem at0xa1008998, 4 with 0x002a0a29
dtrace: write vmem at0xa100899c, 4 with 0x002a0a29
dtrace: write vmem at0xa1008fc0, 4 with 0x002a0a29
dtrace: write vmem at0xa1008fc4, 4 with 0x002a0a29
dtrace: write vmem at0xa1008fc8, 4 with 0x002a0a29
dtrace: write vmem at0xa1008fcc, 4 with 0x002a0a29
dtrace: write vmem at0xa1008fd0, 4 with 0x002a0a29
dtrace: write vmem at0xa1008fd4, 4 with 0x002a0a29
dtrace: write vmem at0xa1008fd8, 4 with 0x002a0a29
dtrace: write vmem at0xa1008fdc, 4 with 0x002a0a29
dtrace: write vmem at0xa1009600, 4 with 0x002a0a29
dtrace: write vmem at0xa1009604, 4 with 0x002a0a29
dtrace: write vmem at0xa1009608, 4 with 0x002a0a29
dtrace: write vmem at0xa100960c, 4 with 0x002a0a29
dtrace: write vmem at0xa1009610, 4 with 0x002a0a29
dtrace: write vmem at0xa1009614, 4 with 0x002a0a29
dtrace: write vmem at0xa1009618, 4 with 0x002a0a29
dtrace: write vmem at0xa100961c, 4 with 0x002a0a29
dtrace: write vmem at0xa1009c40, 4 with 0x002a0a29
dtrace: write vmem at0xa1009c44, 4 with 0x002a0a29
dtrace: write vmem at0xa1009c48, 4 with 0x002a0a29
dtrace: write vmem at0xa1009c4c, 4 with 0x002a0a29
dtrace: write vmem at0xa1009c50, 4 with 0x002a0a29
dtrace: write vmem at0xa1009c54, 4 with 0x002a0a29
dtrace: write vmem at0xa1009c58, 4 with 0x002a0a29
dtrace: write vmem at0xa1009c5c, 4 with 0x002a0a29
dtrace: write vmem at0xa100a280, 4 with 0x002a0a29
dtrace: write vmem at0xa100a284, 4 with 0x002a0a29
dtrace: write vmem at0xa100a288, 4 with 0x002a0a29
dtrace: write vmem at0xa100a28c, 4 with 0x002a0a29
dtrace: write vmem at0xa100a290, 4 with 0x002a0a29
dtrace: write vmem at0xa100a294, 4 with 0x002a0a29
dtrace: write vmem at0xa100a298, 4 with 0x002a0a29
dtrace: write vmem at0xa100a29c, 4 with 0x002a0a29
dtrace: write vmem at0xa100a8c0, 4 with 0x002a0a29
dtrace: write vmem at0xa100a8c4, 4 with 0x002a0a29
dtrace: write vmem at0xa100a8c8, 4 with 0x002a0a29
dtrace: write vmem at0xa100a8cc, 4 with 0x002a0a29
dtrace: write vmem at0xa100a8d0, 4 with 0x002a0a29
dtrace: write vmem at0xa100a8d4, 4 with 0x002a0a29
dtrace: write vmem at0xa100a8d8, 4 with 0x002a0a29
dtrace: write vmem at0xa100a8dc, 4 with 0x002a0a29
dtrace: write vmem at0xa100af00, 4 with 0x002a0a29
dtrace: write vmem at0xa100af04, 4 with 0x002a0a29
dtrace: write vmem at0xa100af08, 4 with 0x002a0a29
dtrace: write vmem at0xa100af0c, 4 with 0x002a0a29
dtrace: write vmem at0xa100af10, 4 with 0x002a0a29
dtrace: write vmem at0xa100af14, 4 with 0x002a0a29
dtrace: write vmem at0xa100af18, 4 with 0x002a0a29
dtrace: write vmem at0xa100af1c, 4 with 0x002a0a29
dtrace: write vmem at0xa100b540, 4 with 0x002a0a29
dtrace: write vmem at0xa100b544, 4 with 0x002a0a29
dtrace: write vmem at0xa100b548, 4 with 0x002a0a29
dtrace: write vmem at0xa100b54c, 4 with 0x002a0a29
dtrace: write vmem at0xa100b550, 4 with 0x002a0a29
dtrace: write vmem at0xa100b554, 4 with 0x002a0a29
dtrace: write vmem at0xa100b558, 4 with 0x002a0a29
dtrace: write vmem at0xa100b55c, 4 with 0x002a0a29
dtrace: write vmem at0xa100bb80, 4 with 0x002a0a29
dtrace: write vmem at0xa100bb84, 4 with 0x002a0a29
dtrace: write vmem at0xa100bb88, 4 with 0x002a0a29
dtrace: write vmem at0xa100bb8c, 4 with 0x002a0a29
dtrace: write vmem at0xa100bb90, 4 with 0x002a0a29
dtrace: write vmem at0xa100bb94, 4 with 0x002a0a29
dtrace: write vmem at0xa100bb98, 4 with 0x002a0a29
dtrace: write vmem at0xa100bb9c, 4 with 0x002a0a29
dtrace: write vmem at0xa100c1c0, 4 with 0x002a0a29
dtrace: write vmem at0xa100c1c4, 4 with 0x002a0a29
dtrace: write vmem at0xa100c1c8, 4 with 0x002a0a29
dtrace: write vmem at0xa100c1cc, 4 with 0x002a0a29
dtrace: write vmem at0xa100c1d0, 4 with 0x002a0a29
dtrace: write vmem at0xa100c1d4, 4 with 0x002a0a29
dtrace: write vmem at0xa100c1d8, 4 with 0x002a0a29
dtrace: write vmem at0xa100c1dc, 4 with 0x002a0a29
dtrace: read vgactl at 0xa0000100, 4
dtrace: write vmem at0xa100c800, 4 with 0x002a0a29
dtrace: write vmem at0xa100c804, 4 with 0x002a0a29
dtrace: write vmem at0xa100c808, 4 with 0x002a0a29
dtrace: write vmem at0xa100c80c, 4 with 0x002a0a29
dtrace: write vmem at0xa100c810, 4 with 0x002a0a29
dtrace: write vmem at0xa100c814, 4 with 0x002a0a29
dtrace: write vmem at0xa100c818, 4 with 0x002a0a29
dtrace: write vmem at0xa100c81c, 4 with 0x002a0a29
dtrace: write vmem at0xa100ce40, 4 with 0x002a0a29
dtrace: write vmem at0xa100ce44, 4 with 0x002a0a29
dtrace: write vmem at0xa100ce48, 4 with 0x002a0a29
dtrace: write vmem at0xa100ce4c, 4 with 0x002a0a29
dtrace: write vmem at0xa100ce50, 4 with 0x002a0a29
dtrace: write vmem at0xa100ce54, 4 with 0x002a0a29
dtrace: write vmem at0xa100ce58, 4 with 0x002a0a29
dtrace: write vmem at0xa100ce5c, 4 with 0x002a0a29
dtrace: write vmem at0xa100d480, 4 with 0x002a0a29
dtrace: write vmem at0xa100d484, 4 with 0x002a0a29
dtrace: write vmem at0xa100d488, 4 with 0x002a0a29
dtrace: write vmem at0xa100d48c, 4 with 0x002a0a29
dtrace: write vmem at0xa100d490, 4 with 0x002a0a29
dtrace: write vmem at0xa100d494, 4 with 0x002a0a29
dtrace: write vmem at0xa100d498, 4 with 0x002a0a29
dtrace: write vmem at0xa100d49c, 4 with 0x002a0a29
dtrace: write vmem at0xa100dac0, 4 with 0x002a0a29
dtrace: write vmem at0xa100dac4, 4 with 0x002a0a29
dtrace: write vmem at0xa100dac8, 4 with 0x002a0a29
dtrace: write vmem at0xa100dacc, 4 with 0x002a0a29
dtrace: write vmem at0xa100dad0, 4 with 0x002a0a29
dtrace: write vmem at0xa100dad4, 4 with 0x002a0a29
dtrace: write vmem at0xa100dad8, 4 with 0x002a0a29
dtrace: write vmem at0xa100dadc, 4 with 0x002a0a29
dtrace: write vmem at0xa100e100, 4 with 0x002a0a29
dtrace: write vmem at0xa100e104, 4 with 0x002a0a29
dtrace: write vmem at0xa100e108, 4 with 0x002a0a29
dtrace: write vmem at0xa100e10c, 4 with 0x002a0a29
dtrace: write vmem at0xa100e110, 4 with 0x002a0a29
dtrace: write vmem at0xa100e114, 4 with 0x002a0a29
dtrace: write vmem at0xa100e118, 4 with 0x002a0a29
dtrace: write vmem at0xa100e11c, 4 with 0x002a0a29
dtrace: write vmem at0xa100e740, 4 with 0x002a0a29
dtrace: write vmem at0xa100e744, 4 with 0x002a0a29
dtrace: write vmem at0xa100e748, 4 with 0x002a0a29
dtrace: write vmem at0xa100e74c, 4 with 0x002a0a29
dtrace: write vmem at0xa100e750, 4 with 0x002a0a29
dtrace: write vmem at0xa100e754, 4 with 0x002a0a29
dtrace: write vmem at0xa100e758, 4 with 0x002a0a29
dtrace: write vmem at0xa100e75c, 4 with 0x002a0a29
dtrace: write vmem at0xa100ed80, 4 with 0x002a0a29
dtrace: write vmem at0xa100ed84, 4 with 0x002a0a29
dtrace: write vmem at0xa100ed88, 4 with 0x002a0a29
dtrace: write vmem at0xa100ed8c, 4 with 0x002a0a29
dtrace: write vmem at0xa100ed90, 4 with 0x002a0a29
dtrace: write vmem at0xa100ed94, 4 with 0x002a0a29
dtrace: write vmem at0xa100ed98, 4 with 0x002a0a29
dtrace: write vmem at0xa100ed9c, 4 with 0x002a0a29
dtrace: write vmem at0xa100f3c0, 4 with 0x002a0a29
dtrace: write vmem at0xa100f3c4, 4 with 0x002a0a29
dtrace: write vmem at0xa100f3c8, 4 with 0x002a0a29
dtrace: write vmem at0xa100f3cc, 4 with 0x002a0a29
dtrace: write vmem at0xa100f3d0, 4 with 0x002a0a29
dtrace: write vmem at0xa100f3d4, 4 with 0x002a0a29
dtrace: write vmem at0xa100f3d8, 4 with 0x002a0a29
dtrace: write vmem at0xa100f3dc, 4 with 0x002a0a29
dtrace: write vmem at0xa100fa00, 4 with 0x002a0a29
dtrace: write vmem at0xa100fa04, 4 with 0x002a0a29
dtrace: write vmem at0xa100fa08, 4 with 0x002a0a29
dtrace: write vmem at0xa100fa0c, 4 with 0x002a0a29
dtrace: write vmem at0xa100fa10, 4 with 0x002a0a29
dtrace: write vmem at0xa100fa14, 4 with 0x002a0a29
dtrace: write vmem at0xa100fa18, 4 with 0x002a0a29
dtrace: write vmem at0xa100fa1c, 4 with 0x002a0a29
dtrace: write vmem at0xa1010040, 4 with 0x002a0a29
dtrace: write vmem at0xa1010044, 4 with 0x002a0a29
dtrace: write vmem at0xa1010048, 4 with 0x002a0a29
dtrace: write vmem at0xa101004c, 4 with 0x002a0a29
dtrace: write vmem at0xa1010050, 4 with 0x002a0a29
dtrace: write vmem at0xa1010054, 4 with 0x002a0a29
dtrace: write vmem at0xa1010058, 4 with 0x002a0a29
dtrace: write vmem at0xa101005c, 4 with 0x002a0a29
dtrace: write vmem at0xa1010680, 4 with 0x002a0a29
dtrace: write vmem at0xa1010684, 4 with 0x002a0a29
dtrace: write vmem at0xa1010688, 4 with 0x002a0a29
dtrace: write vmem at0xa101068c, 4 with 0x002a0a29
dtrace: write vmem at0xa1010690, 4 with 0x002a0a29
dtrace: write vmem at0xa1010694, 4 with 0x002a0a29
dtrace: write vmem at0xa1010698, 4 with 0x002a0a29
dtrace: write vmem at0xa101069c, 4 with 0x002a0a29
dtrace: write vmem at0xa1010cc0, 4 with 0x002a0a29
dtrace: write vmem at0xa1010cc4, 4 with 0x002a0a29
dtrace: write vmem at0xa1010cc8, 4 with 0x002a0a29
dtrace: write vmem at0xa1010ccc, 4 with 0x002a0a29
dtrace: write vmem at0xa1010cd0, 4 with 0x002a0a29
